SYear,Species,cpue,Common_name,Func_group,Func_ID
2014,405,0.5304347826086957,White Sucker,Benthic_invertivore,1
2014,412,0.1,Golden Redhorse,Benthic_invertivore,1
2014,413,0.15000000000000002,Shorthead Redhorse,Benthic_invertivore,1
2014,504,8.26,Emerald Shiner,General_invertivore,3
2014,508,2.305263157894737,Spottail Shiner,General_invertivore,3
2014,511,6.352631578947368,Mimic Shiner,General_invertivore,3
2014,609,0.1,White Crappie,Piscivore,4
2014,707,0.24000000000000002,Logperch,Benthic_invertivore,1
2014,801,11.091666666666667,Yellow Perch,General_invertivore,3
2014,803,5.233333333333333,Walleye,Piscivore,4
2014,906,20.339130434782607,Round Goby,Benthic_invertivore,1
2015,108,7.053846153846154,Gizzard Shad,Piscivore,4
2015,109,16.115384615384613,Rainbow Smelt,Planktivore,2
2015,119,0.1,Channel Catfish,Piscivore,4
2015,131,13.608695652173914,Trout-Perch,General_invertivore,3
2015,132,23.36111111111111,White Perch,Piscivore,4
2015,133,1.5473684210526315,White Bass,Piscivore,4
2015,134,0.6421052631578947,Freshwater Drum,Benthic_invertivore,1
2015,203,0.4,Lake Whitefish,Benthic_invertivore,1
2015,402,0.3,Carp,Omnivore,5
2015,403,0.125,Quillback,Benthic_invertivore,1
2015,405,0.825,White Sucker,Benthic_invertivore,1
2015,413,0.1,Shorthead Redhorse,Benthic_invertivore,1
2015,504,1.61,Emerald Shiner,General_invertivore,3
2015,508,2.0647058823529414,Spottail Shiner,General_invertivore,3
2015,511,57.00555555555555,Mimic Shiner,General_invertivore,3
2015,601,0.2,Rock Bass,Benthic_invertivore,1
2015,607,0.1,Smallmouth Bass,Piscivore,4
2015,707,0.13333333333333333,Logperch,Benthic_invertivore,1
2015,801,22.0125,Yellow Perch,General_invertivore,3
2015,803,6.008695652173913,Walleye,Piscivore,4
2015,906,43.1,Round Goby,Benthic_invertivore,1
2016,104,0.1,Longnose Gar,Piscivore,4
2016,108,2.3249999999999997,Gizzard Shad,Piscivore,4
2016,109,5.242857142857143,Rainbow Smelt,Planktivore,2
2016,113,0.1,Northern Pike,Piscivore,4
2016,119,0.125,Channel Catfish,Piscivore,4
2016,131,62.36666666666667,Trout-Perch,General_invertivore,3
2016,132,35.6875,White Perch,Piscivore,4
2016,133,0.5772727272727273,White Bass,Piscivore,4
2016,134,0.8380952380952381,Freshwater Drum,Benthic_invertivore,1
2016,203,0.2,Lake Whitefish,Benthic_invertivore,1
2016,402,0.5230769230769231,Carp,Omnivore,5
2016,403,0.15000000000000002,Quillback,Benthic_invertivore,1
2016,405,0.50625,White Sucker,Benthic_invertivore,1
2016,504,0.9818181818181818,Emerald Shiner,General_invertivore,3
2016,508,2.857142857142857,Spottail Shiner,General_invertivore,3
